zone,promoter,total_m2,n_rooms,n_bathrooms,n_toilets,livingroom_m2,livingroom_p,kitchen_m2,kitchen_p,bathroom1_m2,bathroom1_p,bathroom2_m2,bathroom2_p,bathroom3_m2,bathroom3_p,toilet_m2,toilet_p,bdroom1_m2,bdroom1_p,bdroom2_m2,bdroom2_p,bdroom3_m2,bdroom3_p,bdroom4_m2,bdroom4_p,entrance_m2,entrance_p,corridor_m2,corridor_p,laundry_m2,laundry_p
Madrid,Borea Arroyo Fresno Portablanca / Fcc,109.12,4,3,0,28.51,38.20,11.09,14.86,4.91,11.59,3.97,9.37,3.78,8.92,,,16.70,22.38,11.14,14.93,10.11,13.55,8.94,11.98,4.86,13.37,5.11,14.05,,
Madrid,Mesena - Metrovacesa ,123.40,4,3,0,33.30,44.62,13.60,18.22,4.70,11.09,3.80,8.97,3.30,7.79,,,18.70,25.06,10.50,14.07,10.20,13.67,10.00,13.40,5.90,16.23,9.40,25.85,,
Malaga,Zitizen,67.00,2,2,0,22.40,30.02,8.80,11.79,3.50,8.26,3.50,8.26,,,,,13.80,18.49,9.60,12.86,,,,,3.60,9.90,1.80,4.95,,
Malaga,Zitizen,66.10,2,2,0,21.60,28.94,8.80,11.79,3.70,8.73,3.30,7.79,,,,,12.90,17.29,9.30,12.46,,,,,4.10,11.28,2.40,6.60,,
Malaga,Zitizen,68.30,2,2,0,24.50,32.83,7.20,9.65,3.50,8.26,3.30,7.79,,,,,13.30,17.82,9.30,12.46,,,,,4.40,12.10,2.80,7.70,,
Malaga,Zitizen,71.80,3,1,0,20.20,27.07,8.50,11.39,3.80,8.97,,,,,,,12.80,17.15,9.40,12.60,8.90,11.93,,,4.00,11.00,4.20,11.55,,
Malaga,Zitizen,72.20,3,1,0,19.40,26.00,8.10,10.85,3.60,8.50,,,,,,,13.70,18.36,9.60,12.86,9.30,12.46,,,4.70,12.93,3.80,10.45,,
Malaga,Zitizen,72.20,3,1,0,20.50,27.47,8.40,11.26,3.70,8.73,,,,,,,12.90,17.29,9.30,12.46,8.80,11.79,,,2.40,6.60,6.20,17.05,,
Manresa,La Llum de Manresa - Metrovacesa,60.00,2,1,0,18.35,24.59,8.45,11.32,5.35,12.63,,,,,,,12.60,16.88,9.25,12.40,,,,,6.00,16.50,,,,
Navarra,Optima / Ardoi,84.80,3,1,0,25.70,34.44,11.50,15.41,4.20,9.91,,,,,,,14.05,18.83,10.65,14.27,10.60,14.20,,,3.85,10.59,4.25,11.69,,
Navarra,Optima / Ardoi,80.30,3,1,0,22.35,29.95,9.65,12.93,4.20,9.91,,,,,,,13.65,18.29,11.95,16.01,9.20,12.33,,,5.95,16.36,3.35,9.21,,
Navarra,Optima / Ardoi,85.50,4,1,0,24.15,32.36,10.05,13.47,4.20,9.91,,,,,,,14.75,19.77,11.35,15.21,10.35,13.87,7.00,9.38,3.65,10.04,,,,
Navarra,Optima / Ardoi,114.00,4,2,0,32.90,44.09,12.70,17.02,4.20,9.91,3.90,9.20,,,,,16.85,22.58,10.65,14.27,10.40,13.94,9.20,12.33,6.90,18.98,6.30,17.33,,
Navarra,Optima / Ardoi,104.45,4,2,0,24.50,32.83,12.80,17.15,4.20,9.91,3.95,9.32,,,,,16.65,22.31,10.50,14.07,10.30,13.80,9.00,12.06,6.30,17.33,6.25,17.19,,
Navarra,Optima / Ardoi,104.00,4,2,0,26.85,35.98,11.70,15.68,4.40,10.38,3.80,8.97,,,,,14.05,18.83,10.45,14.00,10.05,13.47,8.25,11.06,9.40,25.85,5.05,13.89,,
Oviedo,Alveum III - Arqura Homes,92.85,3,2,0,20.25,27.14,9.50,12.73,4.23,9.98,4.18,9.86,,,,,15.87,21.27,11.98,16.05,11.87,15.91,,,5.24,14.41,5.79,15.92,3.94,9.30
Oviedo,Alveum III - Arqura Homes,114.89,4,2,0,26.29,35.23,12.86,17.23,4.36,10.29,4.28,10.10,,,,,14.88,19.94,12.48,16.72,12.12,16.24,9.08,12.17,9.43,25.93,6.78,18.65,2.33,5.50
Pamplona,Abaigar Izarra Plaza,73.27,2,2,0,23.17,31.05,10.66,14.28,4.05,9.56,3.28,7.74,,,,,13.46,18.04,12.00,16.08,,,,,4.95,13.61,1.70,4.68,,
Pamplona,Abaigar Izarra Plaza,64.40,2,2,0,21.80,29.21,9.37,12.56,4.34,10.24,3.73,8.80,,,,,11.67,15.64,8.28,11.10,,,,,2.80,7.70,2.41,6.63,,
Pamplona,Abaigar Izarra Plaza,66.65,2,2,0,22.01,29.49,9.37,12.56,4.42,10.43,3.87,9.13,,,,,11.65,15.61,9.87,13.23,,,,,3.03,8.33,2.43,6.68,,
Pamplona,Abaigar Izarra Plaza,76.89,2,2,0,21.68,29.05,10.66,14.28,3.62,8.54,3.28,7.74,,,,,14.20,19.03,11.49,15.40,,,,,4.25,11.69,7.71,21.20,,
Pamplona,Abaigar Izarra Plaza,85.52,3,2,0,28.00,37.52,10.44,13.99,3.73,8.80,3.55,8.38,,,,,14.74,19.75,11.92,15.97,11.16,14.95,,,,,1.98,5.45,,
Pamplona,Abaigar Izarra Plaza,80.29,3,2,0,25.50,34.17,9.53,12.77,3.52,8.31,3.51,8.28,,,,,14.15,18.96,11.41,15.29,10.66,14.28,,,,,2.01,5.53,,
Pamplona,Abaigar Izarra Plaza,83.43,3,2,0,23.67,31.72,10.94,14.66,4.12,9.72,3.93,9.27,,,,,15.63,20.94,11.80,15.81,11.48,15.38,,,,,1.86,5.12,,
Pamplona,Abaigar Izarra Plaza,81.28,3,2,0,24.96,33.45,9.61,12.88,4.02,9.49,3.57,8.43,,,,,14.56,19.51,11.40,15.28,11.06,14.82,,,,,2.10,5.78,,
Pamplona,Abaigar Izarra Plaza,96.78,3,2,0,29.02,38.89,10.15,13.60,4.09,9.65,4.03,9.51,,,,,19.16,25.67,12.63,16.92,11.32,15.17,,,2.46,6.77,3.92,10.78,,
Pamplona,Abaigar Izarra Plaza,96.46,3,2,0,28.82,38.62,9.84,13.19,4.09,9.65,4.03,9.51,,,,,19.16,25.67,12.82,17.18,11.32,15.17,,,2.46,6.77,3.92,10.78,,
Pamplona,Abaigar Izarra Plaza,91.40,3,2,0,26.43,35.42,11.98,16.05,3.80,8.97,3.77,8.90,,,,,14.87,19.93,11.47,15.37,10.40,13.94,,,5.96,16.39,2.72,7.48,,
Pamplona,Abaigar Izarra Plaza,82.42,3,2,0,23.04,30.87,9.13,12.23,4.04,9.53,3.79,8.94,,,,,14.91,19.98,10.75,14.41,9.27,12.42,,,5.15,14.16,2.34,6.44,,
Pamplona,Abaigar Izarra Plaza,89.57,3,2,0,25.34,33.96,12.43,16.66,3.88,9.16,3.79,8.94,,,,,14.86,19.91,10.74,14.39,9.24,12.38,,,6.94,19.09,2.35,6.46,,
Pamplona,Abaigar Izarra Plaza,89.73,3,2,0,24.48,32.80,10.65,14.27,3.69,8.71,3.49,8.24,,,,,13.76,18.44,11.79,15.80,10.92,14.63,,,2.24,6.16,6.48,17.82,2.23,5.26
