zone,promoter,total_m2,n_rooms,n_bathrooms,n_toilets,avg_area_per_room,avg_perimeter_per_room,avg_area_per_bedroom,avg_perimeter_per_bedroom,avg_area_per_bathroom,avg_perimeter_per_bathroom,avg_area_per_toilet,avg_perimeter_per_toilet,area_to_perimeter_ratio,bathroom_area_to_total_area_ratio,bedroom_area_to_total_area_ratio,toilet_area_to_total_area_ratio,kitchen_area_to_total_area_ratio,livingroom_area_to_total_area_ratio,corridor_area_to_total_area_ratio,bathrooms_to_rooms_ratio,toilets_to_rooms_ratio,bedrooms_to_rooms_ratio,livingroom_perimeter_to_total_perimeter_ratio,kitchen_perimeter_to_total_perimeter_ratio,bedroom_perimeter_to_total_perimeter_ratio,bathroom_perimeter_to_total_perimeter_ratio,livingroom_m2,livingroom_p,kitchen_m2,kitchen_p,bathroom1_m2,bathroom1_p,bathroom2_m2,bathroom2_p,bathroom3_m2,bathroom3_p,toilet_m2,toilet_p,bdroom1_m2,bdroom1_p,bdroom2_m2,bdroom2_p,bdroom3_m2,bdroom3_p,bdroom4_m2,bdroom4_p,entrance_m2,entrance_p,corridor_m2,corridor_p,laundry_m2,laundry_p
Granada,Alma F2,91.5,3,2,0,18.3,23.516,11.66666667,15.63666667,4.1,9.675,0,0,0.77819357,0.089617486,0.382513661,0,0.106010929,0.312568306,0.032786885,0.666666667,0,0.6,0.325905766,0.110563021,0.398962409,0.164568804,28.6,38.32,9.7,13,4.4,10.38,3.8,8.97,0,0,0,0,13.9,18.63,10.9,14.61,10.2,13.67,0,0,7,19.25,3,8.25,0,0
Granada,Alma F2,95.2,4,2,0,15.86666667,20.43666667,10.5,14.0675,4.15,9.79,0,0,0.776382319,0.087184874,0.441176471,0,0.099789916,0.266806723,0.05987395,0.5,0,0.666666667,0.277605611,0.103816669,0.458897407,0.159680313,25.4,34.04,9.5,12.73,4.4,10.38,3.9,9.2,0,0,0,0,14,18.76,9.8,13.13,9.1,12.19,9.1,12.19,4.3,11.83,5.7,15.68,0,0
Coruna,Caleida - Metrovacesa,70.9,2,2,0,17.725,21.9475,11.25,15.075,4.35,10.265,0,0,0.807609067,0.122708039,0.317348378,0,0.114245416,0.276445698,0.039492243,1,0,0.5,0.299122907,0.123590386,0.343433193,0.233853514,19.6,26.26,8.1,10.85,5.2,12.27,3.5,8.26,0,0,0,0,12.2,16.35,10.3,13.8,0,0,0,0,6,16.5,2.8,7.7,3.2,7.55
Coruna,Caleida - Metrovacesa,69.6,2,2,0,17.4,21.5125,11.25,15.075,4.35,10.265,0,0,0.808832074,0.125,0.323275862,0,0.11637931,0.262931034,0.040229885,1,0,0.5,0.28495061,0.126089483,0.350377687,0.23858222,18.3,24.52,8.1,10.85,5.2,12.27,3.5,8.26,0,0,0,0,12.2,16.35,10.3,13.8,0,0,0,0,6,16.5,2.8,7.7,3.2,7.55
Coruna,Caleida - Metrovacesa,70,2,2,0,17.5,21.5675,10.75,14.405,4.85,11.445,0,0,0.811406051,0.138571429,0.307142857,0,0.111428571,0.257142857,0.07,1,0,0.5,0.279587342,0.121131332,0.333951547,0.265329779,18,24.12,7.8,10.45,5.7,13.45,4,9.44,0,0,0,0,13,17.42,8.5,11.39,0,0,0,0,4.9,13.48,4.9,13.48,3.2,7.55
Coruna,Habitat - Torre Amura,71.7,2,2,0,17.925,21.65,10.35,13.865,4.75,11.21,0,0,0.827944573,0.132496513,0.288702929,0,0.10041841,0.278940028,0.10460251,1,0,0.5,0.309468822,0.111431871,0.320207852,0.258891455,20,26.8,7.2,9.65,5.1,12.04,4.4,10.38,0,0,0,0,12.1,16.21,8.6,11.52,0,0,0,0,3.8,10.45,7.5,20.63,3,7.08
Coruna,Habitat - Torre Amura,90.5,3,2,0,18.1,22.762,11.4,15.27666667,4.95,11.68,0,0,0.795184957,0.109392265,0.377900552,0,0.099447514,0.268508287,0.054143646,0.666666667,0,0.6,0.286090853,0.105966084,0.402688692,0.205254371,24.3,32.56,9,12.06,5.4,12.74,4.5,10.62,0,0,0,0,14.2,19.03,11.5,15.41,8.5,11.39,0,0,4.7,12.93,4.9,13.48,3.5,8.26
Coruna,Habitat - Torre Amura,90.1,3,2,0,18.02,22.19,11.8,15.81,4.8,11.325,0,0,0.812077512,0.10654828,0.392896781,0,0.102108768,0.236403996,0.065482797,0.666666667,0,0.6,0.257232988,0.11113114,0.42748986,0.204146012,21.3,28.54,9.2,12.33,5.4,12.74,4.2,9.91,0,0,0,0,12.5,16.75,12.1,16.21,10.8,14.47,0,0,5.2,14.3,5.9,16.23,3.5,8.26
Coruna,Caleida - Metrovacesa,86.4,3,2,0,17.28,21.194,10.83333333,14.51666667,4.85,11.445,0,0,0.815325092,0.112268519,0.376157407,0,0.105324074,0.236111111,0.075231481,0.666666667,0,0.6,0.257997546,0.115032556,0.410965368,0.21600453,20.4,27.34,9.1,12.19,5.2,12.27,4.5,10.62,0,0,0,0,15.6,20.9,8.5,11.39,8.4,11.26,0,0,4.3,11.83,6.5,17.88,3.9,9.2
Coruna,Parque Eiris - Metrovacesa,123.8,4,3,0,17.68571429,21.56,12.925,17.3175,4.566666667,10.78,0,0,0.820302147,0.110662359,0.417609047,0,0.084814216,0.212439418,0.11631664,0.75,0,0.571428571,0.233501193,0.0932282,0.458984893,0.214285714,26.3,35.24,10.5,14.07,6.8,16.05,3.8,8.97,3.1,7.32,0,0,16.1,21.57,12.3,16.48,12,16.08,11.3,15.14,2.7,7.43,14.4,39.6,4.5,10.62
